"GEO_ID","NAME","B03003_001E","B03003_001M","B03003_002E","B03003_002M","B03003_003E","B03003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino","Margin of Error!!Total:!!Not Hispanic or Latino","Estimate!!Total:!!Hispanic or Latino","Margin of Error!!Total:!!Hispanic or Latino",
"0500000US11001","District of Columbia, District of Columbia","672079","*****","594319","*****","77760","*****",
"0500000US12001","Alachua County, Florida","281751","*****","247359","*****","34392","*****",
"0500000US12003","Baker County, Florida","28186","*****","27137","*****","1049","*****",
"0500000US12005","Bay County, Florida","181368","*****","166147","*****","15221","*****",
"0500000US12007","Bradford County, Florida","27888","*****","26528","*****","1360","*****",
"0500000US12009","Brevard County, Florida","620533","*****","547920","*****","72613","*****",
"0500000US12011","Broward County, Florida","1946127","*****","1325104","*****","621023","*****",
"0500000US12013","Calhoun County, Florida","13593","*****","12908","*****","685","*****",
"0500000US12015","Charlotte County, Florida","195083","*****","179805","*****","15278","*****",
"0500000US12017","Citrus County, Florida","158693","*****","148364","*****","10329","*****",
"0500000US12019","Clay County, Florida","223436","*****","198752","*****","24684","*****",
"0500000US12021","Collier County, Florida","387681","*****","281235","*****","106446","*****",
"0500000US12023","Columbia County, Florida","70755","*****","65497","*****","5258","*****",
"0500000US12027","DeSoto County, Florida","34719","*****","24385","*****","10334","*****",
"0500000US12029","Dixie County, Florida","16952","*****","16193","*****","759","*****",
"0500000US12031","Duval County, Florida","1007189","*****","888824","*****","118365","*****",
"0500000US12033","Escambia County, Florida","323275","*****","301862","*****","21413","*****",
"0500000US12035","Flagler County, Florida","121710","*****","108115","*****","13595","*****",
"0500000US12037","Franklin County, Florida","12418","*****","11743","*****","675","*****",
